leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,-0.002490,0.104558,-0.004714,0.485501,0.034280,0.011075,33.323418,358.146851
1,-0.002888,0.121260,-0.005467,-0.463221,0.110430,-0.179416,26.662659,159.299576
2,-0.003493,0.146667,-0.006613,0.469287,0.179761,-0.135647,22.080397,15.265739
3,-0.004130,0.173416,-0.007818,-0.493486,0.145846,-0.031695,29.866571,177.206619
4,-0.004824,0.202545,-0.009132,0.451460,0.248777,-0.184817,22.201803,21.058491
5,-0.005482,0.230197,-0.010378,-0.462604,0.293237,-0.182918,21.411226,159.321121
6,-0.006178,0.259423,-0.011696,0.263097,0.308838,-0.424919,24.620468,56.909863
7,-0.006897,0.289593,-0.013056,0.358253,0.370011,0.318997,23.006765,317.717896
8,-0.007623,0.320078,-0.014431,0.276771,0.463203,0.377627,17.956902,305.956696
9,-0.008342,0.350248,-0.015791,-0.266500,0.526797,0.389993,17.043058,237.535629
10,-0.009038,0.379473,-0.017109,0.060753,0.592920,-0.488867,16.644989,81.584923
11,-0.009696,0.407126,-0.018355,-0.475608,0.661653,0.041361,16.582302,187.303802
12,-0.010390,0.436255,-0.019669,0.242122,0.766875,-0.378639,13.821201,54.876102
13,-0.011027,0.463003,-0.020875,0.118729,0.859156,-0.403675,13.523212,71.275131
14,-0.011632,0.488411,-0.022020,-0.175616,0.970862,-0.307820,12.240679,119.846069
15,-0.012030,0.505112,-0.022773,-0.254424,1.037212,0.072116,10.957891,201.378708
